[{{FileHeader}}]
Version = 9.2.2218
Author = Jeppesen Marine
Desc = Automatic Export of objects from NobeltecVisual Navigation SuiteFormat = CSV

[Begin]
Track Name,Number Of Marks,Length,Start Time,End Time,Duration
VESSEL TRACK - Created 10/14/2025,122,3.876 nm,15:35:02 10-14-2025,16:09:59 10-14-2025,0 hrs 34 min 57 sec
Time,Lat,Lon,Rng-Brg To,Rng-Brg Away
15:55:19 10-14-2025,48 33.477 N,123 10.854 W,66 ft 162 T,62.7 yd 172 T
15:55:32 10-14-2025,48 33.447 N,123 10.848 W,62.7 yd 172 T,339.0 yd 174 T
15:56:47 10-14-2025,48 33.280 N,123 10.823 W,339.0 yd 174 T,49.3 yd 148 T
15:56:58 10-14-2025,48 33.260 N,123 10.803 W,49.3 yd 148 T,91 ft 130 T
15:57:05 10-14-2025,48 33.250 N,123 10.786 W,91 ft 130 T,61 ft 108 T
15:57:10 10-14-2025,48 33.247 N,123 10.771 W,61 ft 108 T,40.3 yd 098 T
15:57:20 10-14-2025,48 33.244 N,123 10.741 W,40.3 yd 098 T,92 ft 078 T
15:57:28 10-14-2025,48 33.247 N,123 10.719 W,92 ft 078 T,48.6 yd 065 T
15:57:41 10-14-2025,48 33.257 N,123 10.686 W,48.6 yd 065 T,52 ft 042 T
15:57:46 10-14-2025,48 33.264 N,123 10.677 W,52 ft 042 T,93 ft 029 T
15:57:55 10-14-2025,48 33.277 N,123 10.666 W,93 ft 029 T,49 ft 009 T
15:58:00 10-14-2025,48 33.285 N,123 10.664 W,49 ft 009 T,49 ft 349 T
15:58:05 10-14-2025,48 33.293 N,123 10.667 W,49 ft 349 T,70 ft 338 T
15:58:12 10-14-2025,48 33.304 N,123 10.673 W,70 ft 338 T,47.8 yd 337 T
15:58:27 10-14-2025,48 33.325 N,123 10.687 W,47.8 yd 337 T,351.8 yd 353 T
16:00:11 10-14-2025,48 33.498 N,123 10.719 W,351.8 yd 353 T,40 ft 044 T
16:00:15 10-14-2025,48 33.502 N,123 10.712 W,40 ft 044 T,62 ft 049 T
16:00:21 10-14-2025,48 33.509 N,123 10.700 W,62 ft 049 T,43 ft 076 T
16:00:25 10-14-2025,48 33.511 N,123 10.690 W,43 ft 076 T,34 ft 088 T
16:00:28 10-14-2025,48 33.511 N,123 10.682 W,34 ft 088 T,70 ft 096 T
16:00:34 10-14-2025,48 33.510 N,123 10.664 W,70 ft 096 T,62 ft 115 T
16:00:39 10-14-2025,48 33.505 N,123 10.650 W,62 ft 115 T,76 ft 129 T
16:00:45 10-14-2025,48 33.498 N,123 10.635 W,76 ft 129 T,78 ft 148 T
16:00:51 10-14-2025,48 33.487 N,123 10.625 W,78 ft 148 T,79 ft 165 T
16:00:58 10-14-2025,48 33.474 N,123 10.620 W,79 ft 165 T,66 ft 184 T
16:01:03 10-14-2025,48 33.463 N,123 10.621 W,66 ft 184 T,195.9 yd 176 T
16:01:45 10-14-2025,48 33.367 N,123 10.612 W,195.9 yd 176 T,67 ft 148 T
16:01:51 10-14-2025,48 33.357 N,123 10.603 W,67 ft 148 T,64 ft 132 T
16:01:56 10-14-2025,48 33.350 N,123 10.591 W,64 ft 132 T,62 ft 116 T
16:02:01 10-14-2025,48 33.346 N,123 10.577 W,62 ft 116 T,73 ft 100 T
16:02:07 10-14-2025,48 33.344 N,123 10.560 W,73 ft 100 T,82 ft 086 T
16:02:14 10-14-2025,48 33.344 N,123 10.539 W,82 ft 086 T,35.0 yd 072 T
16:02:23 10-14-2025,48 33.350 N,123 10.514 W,35.0 yd 072 T,38.3 yd 059 T
16:02:33 10-14-2025,48 33.359 N,123 10.490 W,38.3 yd 059 T,40.8 yd 043 T
16:02:44 10-14-2025,48 33.374 N,123 10.469 W,40.8 yd 043 T,86 ft 024 T
16:02:51 10-14-2025,48 33.387 N,123 10.460 W,86 ft 024 T,73 ft 007 T
16:02:58 10-14-2025,48 33.399 N,123 10.458 W,73 ft 007 T,41.8 yd 352 T
16:03:11 10-14-2025,48 33.419 N,123 10.462 W,41.8 yd 352 T,205.1 yd 341 T
16:04:08 10-14-2025,48 33.515 N,123 10.513 W,205.1 yd 341 T,104.9 yd 331 T
16:04:40 10-14-2025,48 33.560 N,123 10.551 W,104.9 yd 331 T,46 ft 043 T
16:04:44 10-14-2025,48 33.566 N,123 10.543 W,46 ft 043 T,41 ft 088 T
16:04:48 10-14-2025,48 33.566 N,123 10.533 W,41 ft 088 T,57 ft 089 T
16:04:53 10-14-2025,48 33.566 N,123 10.519 W,57 ft 089 T,60 ft 111 T
16:04:59 10-14-2025,48 33.563 N,123 10.505 W,60 ft 111 T,61 ft 129 T
16:05:03 10-14-2025,48 33.556 N,123 10.493 W,61 ft 129 T,86 ft 139 T
16:05:10 10-14-2025,48 33.546 N,123 10.479 W,86 ft 139 T,59.2 yd 154 T
16:05:24 10-14-2025,48 33.519 N,123 10.460 W,59.2 yd 154 T,76.1 yd 169 T
16:05:43 10-14-2025,48 33.483 N,123 10.449 W,76.1 yd 169 T,93.7 yd 180 T
16:06:04 10-14-2025,48 33.436 N,123 10.449 W,93.7 yd 180 T,86.4 yd 199 T
16:06:24 10-14-2025,48 33.396 N,123 10.470 W,86.4 yd 199 T,70 ft 224 T
16:06:31 10-14-2025,48 33.388 N,123 10.482 W,70 ft 224 T,70 ft 241 T
16:06:37 10-14-2025,48 33.382 N,123 10.497 W,70 ft 241 T,57 ft 257 T
16:06:42 10-14-2025,48 33.380 N,123 10.511 W,57 ft 257 T,54 ft 274 T
16:06:46 10-14-2025,48 33.381 N,123 10.524 W,54 ft 274 T,52 ft 291 T
16:06:51 10-14-2025,48 33.384 N,123 10.536 W,52 ft 291 T,49 ft 310 T
16:06:57 10-14-2025,48 33.389 N,123 10.546 W,49 ft 310 T,74.3 yd 321 T
16:07:18 10-14-2025,48 33.417 N,123 10.581 W,74.3 yd 321 T,223.2 yd 326 T
16:08:25 10-14-2025,48 33.509 N,123 10.673 W,223.2 yd 326 T,46.5 yd 352 T
16:08:39 10-14-2025,48 33.532 N,123 10.678 W,46.5 yd 352 T,144.5 yd 345 T
16:09:21 10-14-2025,48 33.601 N,123 10.706 W,144.5 yd 345 T,136.3 yd 330 T
16:09:59 10-14-2025,48 33.659 N,123 10.757 W,136.3 yd 330 T,N/A
