Time,Lat,Lon
16:06:04 10-14-2025,48 33.436 N,123 10.449 W
16:06:24 10-14-2025,48 33.396 N,123 10.470 W
16:06:31 10-14-2025,48 33.388 N,123 10.482 W
16:06:37 10-14-2025,48 33.382 N,123 10.497 W
16:06:42 10-14-2025,48 33.380 N,123 10.511 W
16:06:46 10-14-2025,48 33.381 N,123 10.524 W
16:06:51 10-14-2025,48 33.384 N,123 10.536 W
16:06:57 10-14-2025,48 33.389 N,123 10.546 W
16:07:18 10-14-2025,48 33.417 N,123 10.581 W
16:08:25 10-14-2025,48 33.509 N,123 10.673 W
16:08:39 10-14-2025,48 33.532 N,123 10.678 W
16:09:21 10-14-2025,48 33.601 N,123 10.706 W
16:09:59 10-14-2025,48 33.659 N,123 10.757 W
